mpID,wyckoff,number_of_atoms,equivalent_wyckoff_labels_number,synthesisability
icsd_127086,A_tP16_91_2ad:C,16,3,1
icsd_128373,AB_mP4_11_e_e:As-Cr,4,2,1
icsd-148697,AB3C3D6_cI104_204_c_g_g_h:Al-C-H-O,104,4,1
icsd-177584,A4B15CD4_hP48_158_a2bc_5d_a_ab2c:La-O-Sn-Ti,48,14,1
icsd-81956,ABC3_hR30_161_a_a_b:Bi-Fe-O,30,3,1
icsd-137725,A5BC3_oP36_62_3cd_c_cd:Br-Cu-Rb,36,7,1
icsd-128829,A3B20C6_cF116_225_ac_fh_e:La-Pd-Si,116,5,1
icsd-46172,AB3_hP8_194_c_bf:As-Li,8,3,1
icsd-126564,A4B4C_oP36_55_adgi_2g2h_h:Co-La-Sb,36,9,1
icsd-128983,A3BC9D_oP56_62_a2c_c_5c2d_c:Cu-Mo-O-S,56,12,1
icsd-138080,AB3C2D7_hP26_194_c_df_e_bk:Cl-K-Mo-O,26,6,1
icsd_137069,A3B6C_oP80_54_a2cef_6f_bd:Cu-O-Te,80,13,1
icsd_127439,A5B4_cF72_227_ae_e:Fe-O,72,3,1
icsd_115548,A7B2C2D_mC48_15_e3f_f_f_c:O-P-Rb-Sr,48,7,1
icsd-147974,A7B3C_hR66_167_af_e_b:Cl-Rb-Sn,66,4,1
icsd-149593,AB3C9D2_mP60_14_e_3e_9e_2e:Ca-Fe-O-Si,60,15,1
icsd_127069,A2BC10_oP52_55_gh_e_gh4i:K-Pd-Se,52,9,1
icsd-53720,A2B6C_oP36_29_2a_6a_a:Bi-O-W,36,9,1
icsd-175805,ABC3_hR30_167_a_b_e:B-Fe-O,30,3,1
icsd_128148,A4B2C6D_aP13_2_2i_i_3i_a:H-K-O-Te,13,7,1
icsd_61407,AB7CD_mC40_5_c_7c_c_c:Cl-F-O-Pb,40,10,1
icsd-177615,AB3_hP24_176_h_3h:Mo-O,24,4,1
icsd-129445,A2BC3_mC48_15_2f_2e_3f:C-Cs-N,48,7,1
icsd-49053,AB7C5_hP26_173_a_b2c_2bc:I-O-Sb,26,7,1
icsd-147309,A3B7C_aP22_2_3i_7i_i:Bi-O-V,22,11,1
icsd-144933,A4B4C2D4E_aP15_2_2i_2i_i_2i_a:Cl-H-K-O-U,15,8,1
icsd-145271,AB2CD6_mP20_14_a_e_d_3e:Co-Ho-Mn-O,20,6,1
icsd-144899,AB6C2D7E2_oP72_19_a_6a_2a_7a_2a:Ca-H-N-O-S,72,18,1
icsd-148443,A5B3C2_oI40_72_afj_bj_j:Ge-Ru-Sm,40,6,1
icsd-48707,A3B2C2_hR21_166_2d_c_ab:Co-S-Sn,21,5,1
icsd-49815,A_tP12_96_ab:Ge,12,2,1
icsd-176511,AB3C_tP5_99_a_ac_b:Nb-O-Rb,5,4,1
icsd_124887,AB4_cF40_227_a_e:Al-Y,40,2,1
icsd_83681,ABCD2E_hR108_148_f_f_f_2f_f:H-K-N-O-P,108,6,1
icsd-148290,A2B8C2DE_hP14_164_d_di_d_a_b:K-O-P-Rb-Sc,14,6,1
icsd_116626,AB2C3_oP24_19_a_2a_3a:Ba-P-Pt,24,6,1
icsd-200141,A2B3C12D6EF2_oP104_19_2a_3a_12a_6a_a_2a:C-Cl-H-N-Np-O,104,26,1
icsd-175014,AB7C12_mC80_12_ad_bcef2ij_4i4j:Ag-Mn-O,80,17,1
icsd_139165,A2B_tP6_136_f_a:O-Si,6,2,1
icsd-176638,A5BC2_tI32_140_cl_a_h:Cl-Cs-Pb,32,4,1
icsd-176792,A2B8CD3E_oP60_62_2c_2c3d_a_cd_c:B-F-H-K-O,60,11,1
icsd-174255,AB3C_hR30_167_b_e_a:Ni-O-Pr,30,3,1
icsd-46963,AB2C4_cF56_227_a_d_e:Co-Fe-O,56,3,1
icsd-147923,A2BC4_tI56_142_d_a_df:Ca-Mn-O,56,4,1
icsd_127194,A5B3C2_tP40_128_egh_dh_h:Ge-Ru-Sm,40,6,1
icsd_117522,A2B7C23_cI256_217_2c_ch_2c5gh:Co-Mo-O,256,12,1
icsd-46826,A4B6CD_mC48_15_2f_3f_e_e:H-O-P-Y,48,7,1
icsd_128261,ABCD5E_oP36_19_a_a_a_5a_a:As-Ca-H-O-Zn,36,9,1
icsd-54118,ABC3D_oP24_62_c_c_3c_c:Cu-Rb-Te-Zr,24,6,1
icsd_129020,AB3C_cP5_221_a_c_b:Br-Na-O,5,3,1
icsd-70914,A4B_mC10_12_hi_a:Al-Ca,10,3,1
icsd-177496,ABCD3_oP24_62_c_c_c_3c:Cu-Eu-Nd-Se,24,6,1
icsd-175501,A8B17C4_mC464_15_16f_34f_8f:Ba-Se-Sn,464,58,1
icsd-202469,A4BC_tP12_129_acf_c_c:F-Pb-Sn,12,5,1
icsd_124242,A3B4C6_mC52_12_3i_4i_6i:Ca-Ga-Ge,52,13,1
icsd-175794,ABC3_hR30_167_a_b_e:B-Fe-O,30,3,1
icsd_137301,A10BCD22E5_aP78_2_10i_i_i_22i_5i:H-K-Ni-O-V,78,39,1
icsd-47958,A4B5_oC36_63_acf_c2f:Fe-O,36,6,1
icsd-177253,AB2CD4_oP16_31_a_b_a_2ab:Ge-Li-Mg-O,16,6,1
icsd-70328,A2B2C8D_oP52_62_d_d_2c3d_c:B-Ge-O-Sr,52,8,1
